path,class,label,split
data/raw/dataset-resized/plastic/plastic390.jpg,plastic,1,train
data/raw/dataset-resized/glass/glass254.jpg,glass,1,train
data/raw/dataset-resized/paper/paper522.jpg,paper,1,train
data/raw/dataset-resized/cardboard/cardboard297.jpg,cardboard,1,train
data/raw/dataset-resized/metal/metal43.jpg,metal,1,train
data/raw/dataset-resized/cardboard/cardboard266.jpg,cardboard,1,train
data/raw/dataset-resized/cardboard/cardboard110.jpg,cardboard,1,train
data/raw/dataset-resized/cardboard/cardboard351.jpg,cardboard,1,train
data/raw/dataset-resized/glass/glass123.jpg,glass,1,train
data/raw/dataset-resized/glass/glass467.jpg,glass,1,train
data/raw/dataset-resized/cardboard/cardboard78.jpg,cardboard,1,train
data/raw/dataset-resized/glass/glass171.jpg,glass,1,train
data/raw/dataset-resized/plastic/plastic56.jpg,plastic,1,train
data/raw/dataset-resized/glass/glass293.jpg,glass,1,train
data/raw/dataset-resized/paper/paper548.jpg,paper,1,train
data/raw/dataset-resized/paper/paper329.jpg,paper,1,train
data/raw/dataset-resized/glass/glass453.jpg,glass,1,train
data/raw/dataset-resized/paper/paper503.jpg,paper,1,train
data/raw/dataset-resized/trash/trash64.jpg,trash,0,train
data/raw/dataset-resized/plastic/plastic59.jpg,plastic,1,train
data/raw/dataset-resized/paper/paper120.jpg,paper,1,train
data/raw/dataset-resized/glass/glass345.jpg,glass,1,train
data/raw/dataset-resized/cardboard/cardboard76.jpg,cardboard,1,train
data/raw/dataset-resized/glass/glass136.jpg,glass,1,train
data/raw/dataset-resized/glass/glass338.jpg,glass,1,train
data/raw/dataset-resized/plastic/plastic440.jpg,plastic,1,train
data/raw/dataset-resized/paper/paper139.jpg,paper,1,train
data/raw/dataset-resized/paper/paper369.jpg,paper,1,train
data/raw/dataset-resized/paper/paper86.jpg,paper,1,train
data/raw/dataset-resized/trash/trash90.jpg,trash,0,train
data/raw/dataset-resized/metal/metal378.jpg,metal,1,train
data/raw/dataset-resized/metal/metal326.jpg,metal,1,train
data/raw/dataset-resized/paper/paper560.jpg,paper,1,train
data/raw/dataset-resized/plastic/plastic174.jpg,plastic,1,train
data/raw/dataset-resized/paper/paper380.jpg,paper,1,train
data/raw/dataset-resized/glass/glass324.jpg,glass,1,train
data/raw/dataset-resized/glass/glass268.jpg,glass,1,train
data/raw/dataset-resized/glass/glass23.jpg,glass,1,train
data/raw/dataset-resized/plastic/plastic384.jpg,plastic,1,train
data/raw/dataset-resized/plastic/plastic214.jpg,plastic,1,train
data/raw/dataset-resized/plastic/plastic77.jpg,plastic,1,train
data/raw/dataset-resized/cardboard/cardboard305.jpg,cardboard,1,train
data/raw/dataset-resized/paper/paper572.jpg,paper,1,train
data/raw/dataset-resized/glass/glass336.jpg,glass,1,train
data/raw/dataset-resized/plastic/plastic389.jpg,plastic,1,train
data/raw/dataset-resized/metal/metal299.jpg,metal,1,train
